,TP9,AF7,AF8,TP10,Right AUX,timestamps
293,-16.113,-10.254,-6.836,3.418,0.000,1737549844.547
294,-94.238,-7.324,-15.625,-543.945,0.000,1737549844.550
295,-53.711,-17.578,-14.648,154.297,0.000,1737549844.554
296,35.156,-17.090,0.488,849.609,0.000,1737549844.558
297,42.969,-5.371,7.324,794.922,0.000,1737549844.561
298,-73.242,-26.367,-0.977,-244.141,0.000,1737549844.565
299,-90.332,-43.945,-6.348,-926.270,0.000,1737549844.569
300,17.090,-29.297,-20.508,-239.258,0.000,1737549844.575
301,57.129,-3.906,-37.109,680.176,0.000,1737549844.579
302,40.527,8.301,-17.090,802.246,0.000,1737549844.582
303,-24.902,-10.254,-3.906,-205.078,0.000,1737549844.586
304,-114.746,-37.598,-13.672,-1000.000,0.000,1737549844.590
305,-86.914,-29.297,-20.020,-521.484,0.000,1737549844.593
306,31.738,-10.254,-13.184,488.281,0.000,1737549844.597
307,49.316,-20.020,-2.441,726.074,0.000,1737549844.601
308,-32.715,-23.926,-15.625,-90.332,0.000,1737549844.604
309,-80.566,-34.668,-31.738,-1000.000,0.000,1737549844.608
310,-41.992,-38.574,-21.973,-607.422,0.000,1737549844.612
311,27.344,-11.230,-13.184,511.230,0.000,1737549844.615
312,57.617,-0.977,-14.648,882.324,0.000,1737549844.621
313,-12.695,-21.484,-31.738,-35.645,0.000,1737549844.625
314,-89.355,-33.203,-33.203,-1000.000,0.000,1737549844.629
315,-76.660,-24.902,-16.602,-685.547,0.000,1737549844.632
316,-13.184,-21.484,-12.207,353.516,0.000,1737549844.636
317,53.711,-3.906,-8.301,999.512,0.000,1737549844.640
318,-17.578,-3.418,-11.230,498.047,0.000,1737549844.643
319,-99.121,-24.414,-11.230,-728.516,0.000,1737549844.647
320,-53.223,-20.508,-16.113,-759.277,0.000,1737549844.651
321,9.766,-1.953,-31.738,184.082,0.000,1737549844.654
322,40.527,-0.488,-28.320,731.445,0.000,1737549844.658
323,10.742,-15.137,-9.766,360.352,0.000,1737549844.662
324,-66.406,-23.438,-16.113,-717.773,0.000,1737549844.667
325,-58.105,-25.391,-22.461,-763.672,0.000,1737549844.671
326,11.719,-28.809,-15.137,257.812,0.000,1737549844.675
327,8.789,-21.484,-12.695,760.742,0.000,1737549844.678
328,-19.531,-13.672,-15.137,374.512,0.000,1737549844.682
329,-53.711,-10.254,-24.414,-580.078,0.000,1737549844.686
330,-80.566,-14.648,-35.645,-715.820,0.000,1737549844.689
331,-25.879,-17.090,-18.555,240.723,0.000,1737549844.693
332,35.156,-8.301,-1.465,914.551,0.000,1737549844.697
333,34.180,-5.371,-13.672,471.191,0.000,1737549844.701
334,-20.996,-13.672,-11.230,-678.711,0.000,1737549844.704
335,-60.547,-21.973,-8.789,-962.891,0.000,1737549844.708
336,-26.855,-13.672,-19.043,-202.637,0.000,1737549844.714
337,32.227,-11.719,-20.020,610.352,0.000,1737549844.717
